event, id, x, y
26,634,37,180
26,634,37,181
26,634,36,181
27,122,93,217
27,122,93,218
27,122,94,217
27,122,94,218
27,378,87,219
27,378,86,219
27,378,86,220
27,378,87,220
27,380,990,502
27,634,81,223
27,634,80,223
27,634,80,224
27,634,81,224
28,122,59,70
28,122,59,71
28,122,60,70
28,122,60,71
28,378,49,73
28,378,50,72
28,378,51,73
28,378,50,73
28,378,50,74
28,378,51,74
28,380,990,502
28,634,41,75
28,634,41,76
28,634,42,76
29,114,990,104
29,114,991,104
29,114,991,105
29,114,990,105
29,370,999,105
29,370,998,105
29,370,998,106
29,370,999,106
29,380,990,502
29,626,1005,105
29,626,1004,106
29,626,1005,106
30,122,157,27
30,122,156,27
30,122,156,28
30,122,157,28
30,378,149,28
30,378,149,29
30,378,150,28
30,378,150,29
30,380,990,502
30,634,143,28
30,634,143,29
30,634,143,30
30,634,144,29
30,634,144,30
31,114,957,31
31,114,956,31
31,114,956,32
31,114,957,32
31,370,964,30
31,370,965,30
31,370,965,31
31,370,964,31
31,380,990,502
31,626,971,29
31,626,970,30
31,626,971,30
32,122,33,34
32,122,33,35
32,122,34,34
32,122,34,35
32,378,25,35
32,378,25,36
32,378,25,37
32,378,26,35
32,378,26,36
32,378,26,37
32,380,990,502
32,634,18,36
32,634,19,36
32,634,19,37
32,634,18,37
32,634,18,38
32,634,19,38
33,122,217,16
33,122,217,17
33,378,208,19
33,380,990,502
33,634,199,21
33,634,199,22
33,634,200,21
33,634,200,22
34,122,45,61
34,122,44,61
34,122,44,62
34,122,45,62
34,122,45,63
34,122,46,61
34,122,46,62
34,378,37,62
34,378,37,63
34,378,38,62
34,378,38,63
34,380,990,502
34,624,862,41
34,627,22,109
34,634,32,64
34,634,33,64
34,634,33,65
34,634,32,65
35,122,25,77
35,122,24,77
35,122,24,78
35,122,25,78
35,122,31,75
35,122,32,74
35,122,33,75
35,122,32,75
35,378,17,79
35,378,16,79
35,378,16,80
35,378,17,80
35,380,990,502
35,634,9,79
35,634,9,80
35,634,10,79
35,634,10,80
36,122,149,75
36,122,149,76
36,122,150,75
36,122,150,76
36,122,153,145
36,378,141,77
36,378,141,78
36,378,142,77
36,378,142,78
36,380,990,502
36,634,131,80
36,634,131,81
36,634,131,82
36,634,132,80
36,634,132,81
36,634,132,82
37,114,902,93
37,114,902,94
37,370,908,92
37,370,909,92
37,370,909,93
37,370,908,93
37,370,910,92
37,370,910,93
37,380,990,502
37,626,917,91
37,626,916,91
37,626,917,92
38,114,605,9
38,115,60,38
38,115,61,38
38,115,61,39
38,115,60,39
38,371,69,36
38,371,69,37
38,371,70,36
38,371,71,37
38,371,70,37
38,380,990,502
38,627,76,35
38,627,76,36
38,627,77,36
38,627,77,37
38,627,76,37
39,122,31,29
39,122,32,28
39,122,32,29
39,122,32,30
39,378,23,27
39,378,23,28
39,378,24,27
39,378,24,28
39,380,990,502
39,634,17,23
39,634,16,23
39,634,16,24
39,634,17,24
40,121,939,76
40,121,939,77
40,121,940,76
40,121,940,77
40,377,930,82
40,377,930,83
40,380,990,502
40,633,922,86
40,633,923,86
40,633,923,87
40,633,922,87
41,380,990,502
42,114,957,81
42,114,956,81
42,114,956,82
42,114,957,82
42,114,958,81
42,114,958,82
42,370,965,78
42,370,965,79
42,370,967,77
42,370,966,77
42,370,966,78
42,370,967,78
42,370,967,79
42,370,966,79
42,370,966,80
42,370,968,78
42,380,990,502
42,626,971,76
42,626,971,77
42,626,972,76
42,626,972,77
43,122,21,125
43,122,21,126
43,122,22,126
43,378,15,130
43,380,990,502
43,634,10,134
43,634,11,135
43,634,10,135
44,121,1008,15
44,121,1008,16
44,377,997,18
44,377,998,18
44,380,990,502
44,633,989,21
45,122,58,111
45,122,58,112
45,378,49,111
45,378,48,111
45,378,48,112
45,378,49,112
45,378,49,113
45,378,48,113
45,378,48,114
45,378,49,114
45,378,50,111
45,378,50,112
45,378,50,113
45,378,50,114
45,380,990,502
45,634,41,114
45,634,41,115
45,634,42,114
45,634,42,115
46,121,1007,65
46,121,1007,66
46,121,1008,66
46,377,998,68
46,377,999,69
46,377,998,69
46,380,990,502
46,633,991,71
46,633,991,72
46,633,992,71
46,633,992,72
47,114,945,51
47,114,945,52
47,114,946,51
47,114,946,52
47,370,953,50
47,370,953,51
47,370,954,50
47,370,954,51
47,380,990,502
47,626,959,49
47,626,959,50
47,626,960,49
47,626,960,50
47,627,22,109
48,371,3,193
48,371,3,194
48,371,4,193
48,371,4,194
48,380,990,502
48,627,9,192
48,627,9,193
48,627,10,193
48,627,22,109
49,114,789,35
49,114,788,36
49,114,789,36
49,370,797,32
49,370,797,33
49,370,796,33
49,370,796,34
49,370,797,34
49,370,797,35
49,370,796,35
49,370,796,36
49,370,797,36
49,370,798,33
49,380,990,502
49,626,803,35
49,626,802,35
49,626,802,36
49,626,803,36
50,114,975,26
50,114,975,27
50,114,976,27
50,370,983,26
50,370,983,27
50,380,990,502
50,626,989,26
50,626,989,27
50,626,990,26
50,626,990,27
51,122,3,41
51,122,2,41
51,122,2,42
51,122,3,42
51,122,3,43
51,122,2,43
51,380,990,502
51,633,1018,45
52,115,42,50
52,115,43,51
52,115,42,51
52,115,42,52
52,371,51,50
52,371,51,51
52,380,990,502
52,627,57,51
52,627,57,52
52,627,58,51
52,627,58,52
53,121,964,134
53,121,965,134
53,121,964,135
53,377,956,136
53,377,957,136
53,377,957,137
53,377,956,137
53,380,990,502
53,633,951,139
53,633,950,139
53,633,951,140
54,114,992,116
54,114,993,116
54,114,993,117
54,114,992,117
54,114,992,118
54,114,993,118
54,120,122,35
54,370,1001,116
54,370,1001,117
54,370,1002,116
54,370,1002,117
54,380,990,502
54,626,1009,115
54,626,1008,115
54,626,1008,116
54,626,1009,116
55,121,887,22
55,121,887,23
55,121,888,22
55,121,888,23
55,377,879,22
55,377,879,23
55,377,878,23
55,380,990,502
55,633,872,22
55,633,873,22
55,633,872,23
56,114,929,22
56,114,929,23
56,114,930,22
56,114,930,23
56,114,930,24
56,370,937,22
56,380,990,502
56,626,942,21
56,627,22,109
57,114,1020,80
57,114,1021,80
57,114,1021,81
57,114,1020,81
57,380,990,502
57,627,6,80
57,627,7,80
58,115,33,59
58,115,33,60
58,115,34,59
58,115,34,60
58,371,43,57
58,371,43,58
58,371,44,57
58,371,44,58
58,380,990,502
58,627,51,56
59,122,223,107
59,122,222,107
59,122,222,108
59,122,223,108
59,378,216,106
59,378,217,106
59,378,217,107
59,378,216,107
59,378,216,108
59,380,990,502
59,634,213,105
59,634,212,105
59,634,212,106
59,634,213,106
59,634,213,107
59,634,212,107
60,121,999,109
60,121,998,109
60,121,998,110
60,121,999,110
60,377,989,112
60,377,989,113
60,377,990,112
60,377,990,113
60,380,990,502
60,633,984,116
60,633,984,117
61,114,331,93
61,115,54,92
61,115,55,92
61,115,55,93
61,115,54,93
61,122,198,303
61,371,63,92
61,371,63,93
61,371,64,92
61,371,64,93
61,380,990,502
61,627,69,94
61,627,69,95
61,627,70,94
61,627,70,95
62,122,59,99
62,122,59,100
62,122,60,99
62,378,51,101
62,378,50,101
62,378,50,102
62,378,51,102
62,380,990,502
62,634,45,103
62,634,44,103
62,634,44,104
63,122,35,95
63,122,35,96
63,122,36,95
63,122,36,96
63,378,27,99
63,378,27,100
63,378,28,99
63,380,990,502
63,634,21,102
63,634,21,103
63,634,22,102
64,122,25,16
64,122,25,17
64,122,26,16
64,122,26,17
64,378,17,18
64,378,17,19
64,378,16,19
64,378,16,20
64,378,17,20
64,378,18,18
64,378,19,19
64,378,18,19
64,378,18,20
64,378,19,20
64,378,18,21
64,380,990,502
64,634,10,22
64,634,11,22
64,634,11,23
65,122,62,141
65,378,53,143
65,378,54,143
65,378,54,144
65,380,990,502
65,624,862,41
65,627,22,109
65,634,47,144
65,634,47,145
65,634,48,144
66,121,929,5
66,121,928,5
66,121,928,6
66,121,929,6
66,377,919,5
66,377,918,5
66,377,918,6
66,377,919,6
66,377,919,7
66,377,918,7
66,377,918,8
66,377,919,8
66,377,920,6
66,377,920,7
66,380,990,502
66,633,910,7
66,633,910,8
66,633,911,8
66,633,910,9
67,122,211,43
67,122,210,43
67,122,210,44
67,122,211,44
67,122,211,45
67,122,211,46
67,122,212,45
67,122,212,46
67,378,205,46
67,378,205,47
67,378,206,46
67,378,206,47
67,380,990,502
67,627,22,109
67,634,201,47
67,634,200,47
67,634,200,48
67,634,201,48
68,121,1022,331
68,377,1010,332
68,377,1011,332
68,377,1011,333
68,377,1010,333
68,380,990,502
68,624,862,41
68,633,1001,334
68,633,1001,335
68,633,1002,334
69,122,91,34
69,122,91,35
69,378,82,36
69,378,83,36
69,378,83,37
69,378,82,37
69,380,990,502
69,634,71,37
69,634,71,38
69,634,72,37
69,634,72,38
70,115,49,118
70,115,49,119
70,115,50,118
70,115,50,119
70,371,57,122
70,380,990,502
70,627,62,126
70,627,63,126
70,627,63,127
70,627,62,127
71,114,989,207
71,114,988,207
71,114,988,208
71,114,989,208
71,370,997,207
71,370,996,207
71,370,996,208
71,370,997,208
71,370,997,209
71,380,990,502
71,626,1003,208
71,626,1003,209
71,626,1004,209
72,122,147,58
72,122,147,59
72,122,148,57
72,122,148,58
72,122,148,59
72,378,140,59
72,380,990,502
72,634,134,59
72,634,134,60
73,114,997,173
73,114,996,173
73,114,996,174
73,114,997,174
73,370,1002,174
73,370,1003,174
73,370,1003,175
73,370,1002,175
73,380,990,502
73,626,1008,176
73,626,1009,177
73,626,1008,177
74,121,953,45
74,121,952,45
74,121,952,46
74,121,953,46
74,377,942,46
74,377,943,46
74,377,943,47
74,377,942,47
74,380,990,502
74,633,935,47
74,633,934,47
74,633,934,48
74,633,935,48
75,114,862,266
75,114,863,266
75,114,863,267
75,114,862,267
75,370,869,267
75,370,869,268
75,370,870,267
75,370,870,268
75,380,990,502
75,626,875,267
75,626,874,267
75,626,875,268
76,115,38,7
76,371,48,4
76,371,48,5
76,380,990,502
76,627,22,109
76,627,55,3
76,627,56,3
76,627,56,4
77,115,144,236
77,115,145,236
77,115,145,237
77,115,144,237
77,371,155,235
77,371,155,236
77,371,156,235
77,371,156,236
77,380,990,502
77,627,165,234
78,114,805,0
78,380,990,502
79,380,990,502
79,627,22,109
80,114,1007,134
80,114,1007,135
80,114,1008,134
80,114,1008,135
80,370,1017,134
80,370,1017,135
80,370,1016,135
80,370,1017,136
80,370,1018,135
80,380,990,502
80,627,22,109
81,121,973,34
81,121,973,35
81,121,972,35
81,121,973,36
81,121,974,34
81,121,974,35
81,377,963,36
81,377,963,37
81,377,964,36
81,377,964,37
81,380,990,502
81,633,956,36
81,633,957,36
81,633,957,37
81,633,956,37
82,122,97,33
82,122,98,33
82,378,89,34
82,378,89,35
82,380,990,502
82,634,83,35
83,114,809,55
83,114,809,56
83,114,810,55
83,114,810,56
83,370,817,55
83,370,816,55
83,370,816,56
83,370,817,56
83,380,990,502
83,626,822,54
83,626,823,54
83,626,823,55
83,626,822,55
83,626,824,54
83,626,824,55
83,627,22,109
84,371,5,22
84,371,5,23
84,371,6,23
84,380,990,502
84,624,862,41
84,627,15,25
84,627,15,26
84,627,16,25
84,627,22,109
85,115,41,4
85,115,41,5
85,115,42,5
85,120,122,35
85,371,49,5
85,371,50,5
85,380,990,502
85,627,55,5
85,627,55,6
85,627,55,7
85,627,56,5
85,627,56,6
86,115,188,132
86,115,189,132
86,115,189,133
86,115,188,133
86,122,153,145
86,371,200,130
86,371,201,131
86,371,200,131
86,380,990,502
86,627,209,131
86,627,209,132
86,627,210,131
86,627,210,132
87,114,769,141
87,114,768,141
87,114,768,142
87,114,769,142
87,370,777,143
87,370,778,142
87,370,778,143
87,380,990,502
87,626,785,142
87,626,785,143
87,626,786,142
87,626,786,143
88,122,11,59
88,122,10,59
88,378,0,59
88,378,0,60
88,378,1,60
88,380,990,502
88,633,1023,59
88,633,1023,60
89,122,75,107
89,122,74,107
89,122,74,108
89,122,75,108
89,378,67,111
89,378,66,111
89,378,67,112
89,380,990,502
89,634,61,114
89,634,61,115
89,634,62,114
89,634,62,115
90,115,99,240
90,115,99,241
90,371,109,242
90,371,109,243
90,371,110,242
90,371,110,243
90,380,990,502
90,627,119,245
90,627,118,245
90,627,118,246
90,627,119,246
91,114,999,40
91,114,999,41
91,370,1007,41
91,370,1006,41
91,370,1007,42
91,380,990,502
91,626,1013,40
91,626,1013,41
91,626,1012,41
91,626,1014,40
91,626,1014,41
92,114,987,41
92,114,987,42
92,114,988,41
92,114,988,42
92,120,122,35
92,370,993,40
92,370,993,41
92,370,992,41
92,370,994,41
92,380,990,502
92,624,862,41
92,626,997,39
92,626,996,39
92,626,996,40
92,626,997,40
93,114,1007,49
93,114,1007,50
93,114,1008,49
93,114,1008,50
93,370,1015,49
93,370,1016,49
93,380,990,502
93,626,1021,48
93,626,1021,49
93,626,1020,49
93,626,1020,50
93,626,1021,50
93,626,1022,49
93,627,22,109
94,121,712,26
94,121,712,27
94,377,699,27
94,377,699,28
94,377,700,27
94,377,700,28
94,380,990,502
94,633,689,27
94,633,690,27
95,121,959,72
95,121,959,73
95,121,959,74
95,121,960,73
95,121,960,74
95,377,949,75
95,377,950,75
95,377,950,76
95,380,990,502
95,633,942,76
95,633,943,76
95,633,943,77
95,633,942,77
95,633,942,78
96,122,25,37
96,122,26,36
96,122,26,37
96,378,16,38
96,378,17,38
96,378,17,39
96,378,16,39
96,380,990,502
