# event_count, chip_id(decimal), hit_x, hit_y
0,114,953,343
0,114,953,344
0,114,953,345
0,114,954,343
0,114,954,344
0,370,955,291
0,370,956,290
0,370,957,291
0,370,956,291
0,370,956,292
0,370,957,292
0,626,961,236
0,626,961,237
0,626,960,237
0,626,960,238
0,626,961,238
0,626,962,236
0,626,963,237
0,626,962,237
0,626,962,238
0,626,962,239
1,114,741,203
1,114,741,204
1,114,741,205
1,114,742,203
1,114,742,204
1,114,742,205
1,370,749,153
1,370,748,153
1,370,748,154
1,370,749,154
1,626,744,102
1,626,745,103
1,626,744,103
1,626,744,104
1,626,745,104
2,115,17,267
2,115,16,268
2,115,17,268
2,115,17,269
2,371,29,198
2,371,29,199
2,371,28,199
2,371,28,200
2,371,29,200
2,371,29,201
2,371,28,201
2,371,30,199
2,371,30,200
2,627,39,132
2,627,39,133
2,627,39,134
2,627,40,132
2,627,40,133
2,627,40,134
3,115,107,289
3,115,108,288
3,115,109,289
3,115,108,289
3,115,108,290
3,371,109,234
3,371,109,235
3,371,108,235
3,371,109,236
3,371,110,234
3,371,110,235
3,371,110,236
3,627,108,184
3,627,109,184
3,627,109,185
3,627,108,185
3,627,108,186
3,627,109,186
3,627,109,187
3,627,110,185
3,627,110,186
4,121,633,1
4,121,632,1
4,121,632,2
4,121,633,2
4,121,633,3
4,121,634,1
4,121,634,2
4,377,627,54
4,377,627,55
4,377,627,56
4,377,628,54
4,377,629,54
4,377,629,55
4,377,628,55
4,377,628,56
4,633,617,105
4,633,617,106
4,633,619,105
4,633,618,105
4,633,618,106
4,633,619,106
5,115,253,218
5,115,253,219
5,115,254,218
5,115,254,219
5,371,265,169
5,371,264,170
5,371,265,170
5,371,265,171
5,371,264,171
5,371,265,172
5,371,266,170
5,371,266,171
5,627,275,125
5,627,275,126
5,627,275,127
5,627,276,125
5,627,276,126
5,627,276,127
6,115,99,383
6,115,98,384
6,115,99,384
6,115,99,385
6,115,100,384
6,115,100,385
6,371,101,334
6,371,101,335
6,371,101,336
6,371,102,334
6,371,102,335
6,627,101,283
6,627,100,284
6,627,101,284
6,627,101,285
6,627,103,283
6,627,102,283
6,627,102,284
6,627,103,284
6,627,103,285
6,627,102,285
7,115,181,177
7,115,180,177
7,115,180,178
7,115,181,178
7,371,183,128
7,371,183,129
7,371,183,130
7,371,184,128
7,371,184,129
7,371,184,130
7,627,183,80
7,627,183,81
7,627,184,79
7,627,184,80
7,627,185,80
7,627,185,81
7,627,184,81
8,121,681,137
8,121,682,136
8,121,683,136
8,121,683,137
8,121,682,137
8,121,682,138
8,377,679,194
8,377,679,195
8,377,678,195
8,377,678,196
8,377,679,196
8,377,680,195
8,377,680,196
8,633,679,253
8,633,678,253
8,633,678,254
8,633,679,254
8,633,679,255
8,633,678,255
9,115,167,300
9,115,168,299
9,115,168,300
9,115,168,301
9,371,175,249
9,371,174,249
9,371,174,250
9,371,175,250
9,371,175,251
9,371,174,251
9,371,174,252
9,371,175,252
9,627,179,199
9,627,179,200
9,627,179,201
9,627,181,199
9,627,180,199
9,627,180,200
9,627,181,200
9,627,180,201
10,114,800,88
10,114,801,88
10,114,801,89
10,114,800,89
10,114,800,90
10,114,801,90
10,370,799,31
10,370,799,32
10,370,799,33
10,370,800,31
10,370,800,32
10,370,800,33
10,634,225,15
10,634,225,16
10,634,225,17
10,634,226,15
10,634,226,16
10,634,226,17
11,115,249,373
11,115,249,374
11,115,250,373
11,115,250,374
11,371,253,325
11,371,252,326
11,371,253,326
11,371,253,327
11,371,254,326
11,371,254,327
11,627,254,282
11,627,255,282
11,627,255,283
11,627,254,283
11,627,255,284
11,627,256,282
11,627,256,283
12,114,827,89
12,114,826,89
12,114,826,90
12,114,827,90
12,114,828,89
12,114,828,90
12,370,824,41
12,634,201,2
12,634,201,3
12,634,201,4
12,634,202,2
12,634,203,3
12,634,202,3
12,634,202,4
13,115,38,222
13,115,39,222
13,115,39,223
13,115,38,223
13,115,38,224
13,115,39,224
13,371,47,167
13,371,47,168
13,371,47,169
13,371,48,167
13,371,48,168
13,371,48,169
13,627,52,114
13,627,53,114
13,627,53,115
13,627,52,115
13,627,54,114
13,627,54,115
14,121,883,137
14,121,882,137
14,121,882,138
14,121,883,138
14,121,883,139
14,121,882,139
14,121,884,138
14,377,879,192
14,377,879,193
14,377,881,191
14,377,880,191
14,377,880,192
14,377,881,192
14,377,881,193
14,377,880,193
14,633,879,241
14,633,879,242
14,633,880,240
14,633,881,241
14,633,880,241
14,633,880,242
14,633,881,242
15,115,37,14
15,115,37,15
15,115,36,15
15,115,37,16
15,115,38,14
15,115,38,15
15,115,38,16
15,377,977,32
15,377,977,33
15,377,977,34
15,377,978,32
15,377,978,33
15,633,971,86
15,633,971,87
15,633,972,86
15,633,972,87
16,114,865,207
16,114,865,208
16,114,865,209
16,114,866,207
16,114,866,208
16,114,867,208
16,114,866,209
16,370,869,150
16,370,869,151
16,370,868,151
16,370,869,152
16,370,870,151
16,370,870,152
16,626,869,96
16,626,869,97
16,626,870,96
16,626,871,96
16,626,871,97
16,626,870,97
17,114,921,232
17,114,921,233
17,114,920,233
17,114,920,234
17,114,921,234
17,114,921,235
17,114,922,233
17,114,922,234
17,370,923,183
17,370,922,184
17,370,923,184
17,370,923,185
17,370,922,185
17,626,919,127
17,626,919,128
17,626,919,129
17,626,918,129
17,626,919,130
17,626,921,127
17,626,920,127
17,626,920,128
17,626,921,128
17,626,921,129
17,626,920,129
17,626,920,130
18,115,91,183
18,115,91,184
18,115,92,183
18,115,92,184
18,371,99,133
18,371,99,134
18,371,100,132
18,371,101,133
18,371,100,133
18,371,100,134
18,371,101,134
18,371,100,135
18,627,105,83
18,627,104,84
18,627,105,84
18,627,105,85
18,627,104,85
18,627,106,84
19,115,561,119
19,115,560,119
19,115,560,120
19,115,561,120
19,115,561,121
19,115,560,121
19,371,572,68
19,371,573,68
19,371,573,69
19,371,572,69
19,371,573,70
19,371,574,68
19,371,574,69
19,627,575,13
19,627,576,12
19,627,577,13
19,627,576,13
19,627,576,14
20,114,747,193
20,114,746,193
20,114,746,194
20,114,747,194
20,370,751,140
20,370,751,141
20,370,750,141
20,370,750,142
20,370,751,142
20,370,751,143
20,370,752,140
20,370,752,141
20,370,752,142
20,626,753,91
20,626,754,90
20,626,755,90
20,626,755,91
20,626,754,91
22,121,627,98
22,121,627,99
22,121,627,100
22,121,628,98
22,121,628,99
22,121,628,100
22,377,619,149
22,377,619,150
22,377,619,151
22,377,620,149
22,377,620,150
22,633,613,199
22,633,612,199
22,633,612,200
22,633,613,200
22,633,613,201
22,633,612,201
22,633,614,200
23,114,1005,446
23,114,1005,447
23,114,1005,448
23,114,1006,446
