0	3713.000000	3743.000000	3800.000000	3768.000000	3968.000000	3968.000000	3967.000000	3949.000000	2173.000000	
1	3713.055420	3743.049805	3800.022217	3767.950195	3968.044189	3968.005615	3967.010986	3949.055420	2172.983398	
2	3722.945312	3751.901611	3803.956299	3759.032715	3975.967285	3968.945312	3968.978027	3958.901611	2170.043701	
3	3717.883789	3742.916992	3799.983398	3762.049805	3972.883789	3963.983398	3967.016602	3950.049805	2174.000000	
4	3711.198730	3738.132568	3798.978027	3765.066162	3966.110352	3963.220703	3967.978027	3952.779297	2174.000000	
5	3720.221436	3744.110840	3797.944580	3767.695312	3971.304688	3973.055420	3967.332275	3943.221436	2174.000000	
6	3727.966797	3747.933594	3796.033203	3757.033203	3981.700684	3974.866943	3978.734131	3951.000000	2174.000000	
7	3727.156250	3745.921875	3797.039062	3758.117188	3973.390869	3971.234619	3971.429932	3951.195557	2174.078125	
8	3731.358887	3744.313965	3798.089844	3761.179443	3982.865479	3976.955078	3981.641113	3955.596191	2175.955078	
9	3738.542480	3751.000000	3800.152588	3765.152588	3980.305176	3975.745850	3974.355957	3947.559326	2175.101807	
10	3730.394287	3751.056396	3803.112793	3767.718262	3985.380371	3971.394287	3981.056396	3957.605713	2176.943604	
11	3736.625977	3751.625977	3805.000000	3763.124756	3975.187012	3977.875244	3981.501221	3950.750732	2175.937744	
12	3730.931641	3745.726074	3804.726074	3764.863037	3977.315186	3975.315186	3974.000000	3947.205322	2175.000000	
13	3730.150879	3742.528076	3801.301758	3763.528076	3969.282715	3967.056396	3974.226318	3951.056396	2175.075439	
14	3731.418701	3748.750977	3805.415283	3769.335693	3983.588379	3979.501709	3976.252686	3963.169678	2176.000000	
15	3725.636475	3746.363770	3809.181641	3762.818359	3969.636719	3973.909180	3969.454834	3954.181885	2176.000000	
16	3731.310791	3749.901611	3800.802979	3770.310791	3984.818604	3972.212402	3982.916992	3955.606201	2175.901611	
17	3725.638428	3749.212891	3800.383301	3765.595947	3975.276855	3966.489746	3973.531982	3953.170410	2174.893555	
18	3731.569092	3750.203125	3810.634033	3777.975342	3984.861572	3978.430908	3977.089355	3962.089355	2173.886230	
19	3736.121582	3743.878418	3800.364746	3770.000000	3975.392334	3975.093994	3970.607666	3955.364746	2173.243164	
20	3735.969238	3743.386475	3801.711426	3769.613525	3971.128906	3980.551758	3974.742188	3957.098145	2175.000000	
21	3730.639893	3747.229980	3794.366455	3767.136719	3972.819824	3965.366455	3973.273193	3951.409912	2175.273193	
22	3739.693604	3754.709717	3802.564453	3767.564453	3976.112793	3972.838623	3975.000000	3954.435547	2176.709717	
23	3733.080566	3752.073730	3799.382568	3764.536865	3965.308838	3966.463135	3974.845703	3956.073730	2175.308838	
24	3737.854004	3747.000000	3797.145996	3762.327393	3968.309814	3968.672607	3975.145996	3951.163818	2177.163818	
25	3730.614746	3744.922119	3802.653809	3763.653809	3974.480469	3966.653809	3979.268555	3951.134277	2178.000000	
26	3724.548340	3734.634521	3799.720703	3760.903564	3970.903564	3965.548340	3970.451660	3947.000000	2177.634521	
27	3727.000000	3733.770020	3795.539795	3757.154785	3966.962402	3968.000000	3968.962402	3947.000000	2175.807617	
28	3729.222656	3738.010254	3801.595947	3763.616455	3970.191895	3968.808105	3974.212402	3950.030762	2175.000000	
29	3737.575439	3742.212158	3800.000000	3767.665039	3968.273682	3973.061279	3978.150879	3960.514160	2174.787842	
30	3735.554443	3742.108887	3799.554443	3758.554443	3971.886230	3975.440674	3975.000000	3955.445557	2174.222656	
31	3734.934570	3739.000000	3797.766357	3758.167969	3969.635254	3970.000000	3976.635254	3955.832031	2174.532715	
32	3739.220947	3740.465088	3797.488281	3762.976562	3974.267578	3968.046631	3980.534912	3949.314209	2173.244141	
33	3743.254639	3746.272949	3799.254639	3768.800293	3974.545654	3966.327637	3978.036621	3946.345947	2173.490967	
34	3744.000000	3751.054932	3802.109863	3774.362549	3982.263672	3976.890137	3984.263672	3962.263672	2172.527588	
35	3743.456299	3755.087646	3808.000000	3769.718750	3985.718750	3974.262695	3983.368652	3963.271973	2173.728027	
36	3742.558350	3753.812744	3805.766846	3775.604248	3986.858887	3980.208496	3977.325195	3959.254639	2173.558350	
37	3743.427490	3745.003906	3802.290039	3773.431396	3977.011475	3977.293945	3976.721436	3950.721436	2175.000000	
38	3739.657715	3745.900879	3804.779297	3773.193848	3986.144287	3980.387451	3981.315430	3956.779297	2175.000000	
39	3734.896484	3736.298828	3795.505859	3763.103516	3972.597656	3964.390381	3971.792725	3947.505859	2175.000000	
40	3737.000000	3740.346680	3793.521240	3762.825439	3973.087158	3970.000000	3975.087158	3945.521240	2174.695801	
41	3736.380371	3748.619629	3797.929443	3767.309814	3972.859131	3970.929443	3975.168945	3950.549316	2174.309814	
42	3732.794189	3748.739502	3798.739502	3766.424316	3975.424316	3971.109375	3979.684814	3951.479004	2175.315186	
43	3730.880127	3748.240234	3797.280029	3764.280029	3972.320068	3967.640137	3978.679932	3947.280029	2175.679932	
44	3737.000000	3751.054688	3800.000000	3766.675781	3973.324219	3968.351562	3974.433594	3948.054688	2176.296875	
45	3737.000000	3748.971924	3800.000000	3767.971924	3975.314697	3967.000000	3974.230469	3944.657227	2176.699463	
46	3733.668701	3749.335693	3799.666992	3771.666992	3976.334473	3967.666260	3984.669434	3949.664307	2173.332520	
47	3725.987549	3745.374512	3799.337402	3772.687256	3976.374512	3969.674805	3980.049316	3958.349854	2175.325195	
48	3723.658691	3752.000000	3801.364990	3769.515869	3979.928467	3970.658691	3983.563477	3958.611084	2175.023926	
